"","avg_bed","tract_homevalue_2020","tract_medage_2020","tract_medincome_2020","tract_medincome_2010","foreclosure_pc_2010","pct_built_2020_later","pct_built_2010_2019","pct_built_2000_2009","pct_built_1990_1999","pct_built_1980_1989","pct_built_1970_1979","pct_built_pre_1960","pct_0_bd","pct_1_bd","pct_2_bd","pct_3_bd","pct_4_more_bd","poverty_2010","poverty_2020","nhwhite_2010","nhwhite_2020","mortgaged_2010","mortgaged_2015","mortgaged_2020","ownoccupied_2010","ownoccupied_2015","ownoccupied_2020","mortgage_change_2010_2015","mortgage_change_2015_2020","mortgage_change_2010_2020","ownoccupied_change_2010_2015","ownoccupied_change_2015_2020","ownoccupied_change_2010_2020","poverty_change_2010_2020","nhwhite_change_2010_2020","medincome_change_2010_2015","medincome_change_2015_2020","medincome_change_2010_2020","pop_change_pct","foreclosure_pc_2020"
"67",0.333333333333333,0.356034325360599,0.195121951219512,0.0961681017277756,0.121507689855765,0.184307178631052,0,0,0.137751479768004,0.137837469392463,0.270262709651751,0.189643871749204,0.63645374434125,0.116107348372969,0.373871481678173,0.747858586148549,0.287042961450686,0.149424374331438,0.267754228992552,0.440493779296105,0.0590111103708628,0.0615460122699386,0.295328691265969,0.301607319972938,0.388459999873005,0.34319493010197,0.35915970949569,0.382230489606696,0.622386011276947,0.660339058158752,0.345680578595243,0.608106573654685,0.531201689933496,0.60682176833098,0.490738864594016,0.586533755344521,0.440828139830139,0.249563301669573,0.18930793644272,0.245286105145732,0.313895065809966
"68",0.666666666666667,0.288113930984115,0.522648083623693,0.123481781376518,0.233731771455893,0.666666666666667,0,0.0773824267628413,0.0800249316003118,0,0.028062984374937,0.224079683809184,0.835423802434869,0.0703273460349984,0.124073754954334,0.730999653798206,0.392911731973788,0.213530873361995,0.352971140007364,0.1126548256803,0.247647909041401,0.233506274509804,0.323927616376485,0.350150889220943,0.45497001136824,0.40580874291276,0.506206478958522,0.536803449735152,0.664632285800888,0.69390252553687,0.287463836802294,0.79445203776902,0.554438984903068,0.774993455380347,0.210849238757816,0.540200813721221,0.179711319151023,0.297845672939421,0.0574081037888132,0.099573761803031,0.600346969584282
"69",0.333333333333333,0.26328281906153,0.839721254355401,0.0635855619547243,0.172101362658379,0.451718494271686,0,0.122272736895249,0.144741960447615,0.413092301802257,0.219104605890023,0.27904354625715,0.351026012259724,0.147077118726069,0.673489981259911,0.36073633096842,0.429714560185237,0.14086177305148,0.318388142794806,0.364588201810718,0.105078369517388,0.0523597567716971,0.473240072135297,0.481539478720813,0.486461170388884,0.531045329158412,0.529699298813377,0.524598894017597,0.606255314466196,0.457884077038698,0.512188737100483,0.552476322576125,0.455471408008359,0.510386286932471,0.404102909958645,0.491812208752824,0.350341112305622,0.138093447658089,0.00653763812202516,0.133145170384892,0.869785705224339
"70",0.333333333333333,0.326456089099872,0.268292682926829,0.15816844386155,0.143087098573592,0.0691358024691358,0,0,0.0599662553526697,0.0921199484883792,0.261949344339922,0.317698867607997,0.654630261406472,0.272983002703074,0.843956043956044,0.550039384821994,0.219821100708536,0.0603950490238116,0.0805248018935248,0.232338179919404,0.022458444208973,0.00886743808363783,0.15275718189454,0.143091132444606,0.0778940605368361,0.152716745263529,0.154834665412945,0.0806360563431345,0.602573394288722,0.345234220155813,0.600742074645114,0.593193105418453,0.257344680482977,0.410573942470962,0.483524213536531,0.563966259478966,0.359351218541339,0.414423242894272,0.314496902260781,0.170846051486593,0.181404852749325
"71",0.666666666666667,0.31933540259266,0.574912891986063,0.291743171580088,0.236162244003506,0.544100085299972,0.45556200731982,0.00802678075405347,0.28469790083482,0.553890456041373,0.0982441471571907,0.26267797137974,0.280579911014694,0.0187584845119092,0.0102960102960103,0.370037508551022,0.864041189690687,0.14248382998383,0.118601763391406,0.157751297585675,0.0295362022140225,0.0316402064389285,0.583149104335752,0.622756374542686,0.724686035840217,0.626587071970131,0.609132124352332,0.767300381483898,0.664988345921754,0.653987393924389,0.317556187113381,0.507590847405435,0.911034144158588,0.779789129081394,0.406643003913354,0.5888247406587,0.193247252208837,0.68440112870214,0.436722495135661,0.347083493518918,0.726394618643955
"72",0.666666666666667,0.315501186781085,0.268292682926829,0.30375206705822,0.319937843652881,0.798204936424832,0,0.0905266342796727,0.151812966425364,0.291349569703507,0.112312382133354,0.190021550859455,0.553276220795402,0,0.0244461420932009,0.0338485926721221,0.923360298262023,0.331421302009537,0.0355771052239137,0.30611371410326,0.132729735435534,0.0989847222222222,0.79478219600522,0.747871773833686,0.659624496178872,0.832993244122564,0.858009817045962,0.813912272986247,0.442578363062339,0.220062172920257,0.819744871278791,0.586139730638243,0.352077725453102,0.468462468107083,0.564715686418185,0.519924351448627,0.386028842379502,0.38400352813426,0.302320541510199,0.295977043248119,0.961026640145304
"73",0.333333333333333,0.289392002921307,0.630662020905923,0.146290699663568,0.0997210933142083,0.8096,0,0,0.0169309823894695,0.0657378291519663,0.051258891510154,0.570091301324735,0.686879883948489,0,0.703628760285984,0.622132047061226,0.209415267990278,0.168276797171981,0.0731793687451886,0.341459260035989,0.0728594523740169,0.0629964539007092,0.453629377902569,0.304445380086655,0.41721549394455,0.474046703250523,0.365629183400268,0.455631396525149,0.24862868170474,0.717026450357951,0.591687713141501,0.314221896947876,0.717550945522035,0.491458110668133,0.561836143837963,0.564923322153773,0.418897654134078,0.438952158461151,0.391302825685101,0.268453302025802,0.777184616191354
"74",0.333333333333333,0.348731057148074,0.104529616724739,0.104288076637965,0.0336600525938322,0.296569191802901,0,0.0347293288866797,0.168066909085408,0.186102448139434,0.314867552837895,0.215501227236443,0.527135825269589,0.228026570892795,0.345773947630096,0.543256083395295,0.371549758701944,0.206734487476947,0.422091454539944,0.262803115173407,0,0.00485292109020922,0.245007759666398,0.318056749606482,0.306590173580465,0.245349514942556,0.325962405046994,0.288895110969467,0.780852191544916,0.441942105182555,0.389250909292873,0.763444536363249,0.363339099370939,0.62118471739901,0.262633145994199,0.596303906402864,0.776028603382013,0.278556961204804,0.459072702515159,0.397791189583323,0.319772833702672
"75",0.333333333333333,0.232243929158298,0.121951219512195,0.126492558590409,0.0927165511196111,0.288361373588384,0,0,0,0.129092123821543,0.334255948948603,0.532521985749383,0.517332426903957,0.161234451267517,0.405150808054619,0.658291425986526,0.399215122400233,0.0884018179843951,0.276594064858514,0.330374419532523,0.0226106885121276,0.0278104838709677,0.27348073452176,0.335263036189155,0.294129154632634,0.280706735559332,0.341863799283154,0.260113115675122,0.751782544763915,0.374534983957239,0.463022886299111,0.716182430677851,0.239247932500132,0.4991002993596,0.410702234614204,0.594573058543619,0.404608007347619,0.413178682955851,0.350109854973888,0.192028414520066,0.38855807837188
"76",0.666666666666667,0.355121416834033,0.306620209059233,0.28088042424588,0.0950673360427126,0.488401615695326,1,0.833519974024301,0.0220224077999364,0.0913925793966447,0.165691050231124,0.43212537889135,0.109680397184291,0.0170496768132808,0.0280742798654774,0.559421389513508,0.541094988605788,0.274816506136875,0.299811608823335,0.138850014993217,0.333841508766699,0.278795321637427,0.69397670795935,0.589381970167384,0.784452139877999,0.93108813640604,0.840208101077666,0.83454811453201,0.322502687733188,0.863070801533437,0.423427553560749,0.314373694013578,0.458759131590344,0.317667962394208,0.265958263268842,0.46478807038219,0.604549454726995,0.646600340279241,0.817143827206652,0.806150977257302,0.538929577814336
